exercise,phase,elbow,shoulder,hip,knee,ankle,form,correction_needed,feedback_tag,accuracy,front_knee,front_hip,back_knee,back_hip
Squat,mid,,,125.7,114.0,80.8,good,False,,91.3,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,80.9,,,,
Squat,end,,,180.0,180.0,,good,False,,97.8,,,,
Squat,end,,,180.0,180.0,,good,False,,97.3,,,,
Squat,mid,,,115.7,112.5,95.4,good,False,,88.9,,,,
Squat,mid,,,112.2,118.6,90.5,good,False,,87.3,,,,
Squat,end,,,180.0,180.0,,good,False,,98.5,,,,
Squat,end,,,180.0,180.0,,good,False,,83.7,,,,
Squat,mid,,,117.3,117.4,99.2,good,False,,83.2,,,,
Squat,end,,,180.0,180.0,,good,False,,89.8,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,81.9,,,,
Squat,mid,,,112.3,98.4,75.3,good,False,,96.1,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,97.5,,,,
Squat,mid,,,117.2,105.4,84.7,good,False,,91.0,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,93.3,,,,
Squat,mid,,,96.2,108.8,81.3,good,False,,96.6,,,,
Squat,end,,,180.0,180.0,,good,False,,84.5,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,89.5,,,,
Squat,mid,,,111.7,91.5,82.3,good,False,,82.4,,,,
Squat,end,,,180.0,180.0,,good,False,,95.8,,,,
Squat,end,,,180.0,180.0,,good,False,,82.6,,,,
Squat,mid,,,106.1,106.6,99.9,good,False,,91.2,,,,
Squat,mid,,,127.0,104.7,74.2,good,False,,84.1,,,,
Squat,end,,,180.0,180.0,,good,False,,87.9,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,91.7,,,,
Squat,mid,,,125.5,86.5,91.0,good,False,,90.8,,,,
Squat,mid,,,92.6,89.3,98.8,good,False,,83.6,,,,
Squat,end,,,180.0,180.0,,good,False,,96.9,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,99.3,,,,
Squat,mid,,,91.2,92.4,84.6,good,False,,84.2,,,,
Squat,end,,,180.0,180.0,,good,False,,95.1,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,86.4,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,80.6,,,,
Squat,mid,,,115.5,88.6,91.2,good,False,,88.2,,,,
Squat,end,,,180.0,180.0,,good,False,,85.6,,,,
Squat,mid,,,119.1,86.1,91.2,good,False,,80.8,,,,
Squat,mid,,,101.4,101.1,83.0,good,False,,98.3,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,90.3,,,,
Squat,mid,,,102.5,98.7,89.2,good,False,,97.1,,,,
Squat,end,,,180.0,180.0,,good,False,,84.0,,,,
Squat,end,,,180.0,180.0,,good,False,,98.5,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,91.9,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,80.7,,,,
Squat,mid,,,96.8,85.0,78.9,good,False,,87.4,,,,
Squat,mid,,,104.2,105.3,86.3,good,False,,90.3,,,,
Squat,mid,,,106.2,84.4,93.1,good,False,,83.2,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,97.9,,,,
Squat,mid,,,128.6,103.1,82.1,good,False,,84.3,,,,
Squat,mid,,,121.1,96.9,99.3,good,False,,84.2,,,,
Squat,mid,,,108.4,118.6,82.2,good,False,,90.1,,,,
Squat,mid,,,102.8,114.0,73.8,good,False,,94.2,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,83.2,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,86.0,,,,
Squat,end,,,180.0,180.0,,good,False,,93.3,,,,
Squat,end,,,180.0,180.0,,good,False,,93.1,,,,
Squat,end,,,180.0,180.0,,good,False,,89.9,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,84.5,,,,
Squat,end,,,180.0,180.0,,good,False,,95.9,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,91.9,,,,
Squat,mid,,,92.0,93.0,92.8,good,False,,97.9,,,,
Squat,mid,,,124.0,102.3,100.0,good,False,,95.4,,,,
Squat,end,,,180.0,180.0,,good,False,,82.9,,,,
Squat,end,,,180.0,180.0,,good,False,,99.9,,,,
Squat,mid,,,110.8,111.5,72.4,good,False,,80.2,,,,
Squat,end,,,180.0,180.0,,good,False,,98.0,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,81.3,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,87.9,,,,
Squat,end,,,180.0,180.0,,good,False,,85.4,,,,
Squat,mid,,,92.5,91.5,70.9,good,False,,85.1,,,,
Squat,mid,,,99.2,92.5,99.0,good,False,,92.4,,,,
Squat,end,,,180.0,180.0,,good,False,,99.6,,,,
Squat,mid,,,107.5,86.9,82.5,good,False,,95.5,,,,
Squat,end,,,180.0,180.0,,good,False,,97.2,,,,
Squat,mid,,,93.4,105.8,92.1,good,False,,95.9,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,98.2,,,,
Squat,mid,,,92.5,105.1,92.3,good,False,,91.3,,,,
Squat,end,,,180.0,180.0,,good,False,,92.2,,,,
Squat,end,,,180.0,180.0,,good,False,,89.2,,,,
Squat,end,,,180.0,180.0,,good,False,,82.0,,,,
Squat,end,,,180.0,180.0,,good,False,,81.8,,,,
Squat,mid,,,99.9,81.3,96.8,good,False,,90.6,,,,
Squat,mid,,,102.4,115.6,76.4,good,False,,83.4,,,,
Squat,mid,,,111.0,92.8,85.1,good,False,,83.3,,,,
Squat,end,,,180.0,180.0,,good,False,,85.0,,,,
Squat,mid,,,124.1,109.0,89.2,good,False,,99.4,,,,
Squat,mid,,,114.7,99.2,78.6,good,False,,81.3,,,,
Squat,mid,,,112.4,86.7,80.4,good,False,,98.4,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,94.8,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,81.1,,,,
Squat,mid,,,115.8,119.6,88.7,good,False,,94.3,,,,
Squat,end,,,180.0,180.0,,good,False,,86.9,,,,
Squat,end,,,180.0,180.0,,good,False,,82.1,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,82.9,,,,
Squat,mid,,,118.0,103.9,86.2,good,False,,91.1,,,,
Squat,mid,,,124.0,82.2,70.6,good,False,,86.1,,,,
Squat,mid,,,102.9,88.9,86.9,good,False,,96.2,,,,
Squat,mid,,,123.7,100.7,94.3,good,False,,91.2,,,,
Squat,start,,,180.0,180.0,90.0,good,False,,98.2,,,,
Squat,end,,,209.3,154.2,,bad,True,Back rounding,49.9,,,,
Squat,start,,,183.3,199.1,119.3,bad,True,Knees over toes,66.9,,,,
Squat,end,,,174.8,199.4,,bad,True,Knees over toes,42.4,,,,
Squat,start,,,204.7,168.5,61.7,bad,True,Knees over toes,62.4,,,,
Squat,mid,,,147.3,148.4,65.5,bad,True,Knees over toes,54.8,,,,
Squat,start,,,204.2,160.8,105.7,bad,True,Heels lift,62.8,,,,
Squat,mid,,,86.6,137.5,123.3,bad,True,Back rounding,52.7,,,,
Squat,mid,,,84.4,121.4,51.8,bad,True,Heels lift,63.4,,,,
Squat,start,,,201.0,151.4,117.9,bad,True,Back rounding,66.0,,,,
Squat,mid,,,139.4,139.5,118.5,bad,True,Back rounding,63.8,,,,
Squat,end,,,182.7,178.2,,bad,True,Knees over toes,51.0,,,,
Squat,mid,,,156.3,147.2,48.6,bad,True,Knees over toes,62.1,,,,
Squat,end,,,170.2,151.2,,bad,True,Knees over toes,42.7,,,,
Squat,end,,,203.9,152.7,,bad,True,Knees over toes,58.8,,,,
Squat,start,,,158.0,177.2,99.7,bad,True,Back rounding,67.5,,,,
Squat,end,,,191.7,207.3,,bad,True,Back rounding,67.5,,,,
Squat,end,,,186.7,166.3,,bad,True,Heels lift,64.1,,,,
Squat,end,,,158.4,184.4,,bad,True,Heels lift,69.5,,,,
Squat,start,,,157.5,189.0,67.1,bad,True,Back rounding,42.2,,,,
Squat,start,,,182.4,193.4,64.6,bad,True,Heels lift,67.4,,,,
Squat,start,,,195.5,203.0,91.7,bad,True,Back rounding,57.2,,,,
Squat,start,,,173.5,163.0,99.3,bad,True,Knees over toes,46.4,,,,
Squat,end,,,199.0,205.3,,bad,True,Heels lift,53.7,,,,
Squat,end,,,170.0,207.2,,bad,True,Back rounding,59.9,,,,
Squat,end,,,186.3,167.8,,bad,True,Heels lift,69.2,,,,
Squat,start,,,198.3,192.5,72.2,bad,True,Knees over toes,41.0,,,,
Squat,start,,,201.9,178.0,95.7,bad,True,Knees over toes,55.4,,,,
Squat,start,,,150.6,168.6,69.1,bad,True,Heels lift,66.6,,,,
Squat,start,,,197.6,210.0,106.1,bad,True,Back rounding,47.4,,,,
Squat,start,,,197.5,192.3,116.9,bad,True,Knees over toes,59.7,,,,
Squat,end,,,185.6,196.1,,bad,True,Back rounding,40.9,,,,
Squat,start,,,184.2,176.6,91.7,bad,True,Back rounding,61.7,,,,
Squat,end,,,160.4,168.8,,bad,True,Knees over toes,57.5,,,,
Squat,end,,,170.7,183.2,,bad,True,Knees over toes,64.9,,,,
Squat,mid,,,145.3,142.3,65.7,bad,True,Heels lift,52.5,,,,
Squat,end,,,190.1,183.8,,bad,True,Heels lift,59.5,,,,
Squat,mid,,,63.7,70.4,66.7,bad,True,Knees over toes,54.1,,,,
Squat,end,,,195.0,192.3,,bad,True,Knees over toes,49.7,,,,
Squat,mid,,,136.7,60.4,120.1,bad,True,Heels lift,54.6,,,,
Squat,end,,,176.7,155.6,,bad,True,Back rounding,42.2,,,,
Squat,start,,,159.7,191.7,80.9,bad,True,Knees over toes,46.4,,,,
Squat,mid,,,133.1,69.7,51.1,bad,True,Back rounding,43.3,,,,
Squat,start,,,160.0,156.7,85.6,bad,True,Back rounding,67.0,,,,
Squat,start,,,169.5,181.6,73.8,bad,True,Heels lift,51.4,,,,
Squat,mid,,,87.3,123.2,65.5,bad,True,Heels lift,47.0,,,,
Squat,end,,,170.3,188.1,,bad,True,Heels lift,65.8,,,,
Squat,end,,,208.0,194.2,,bad,True,Back rounding,57.7,,,,
Squat,end,,,187.9,162.5,,bad,True,Knees over toes,40.4,,,,
Squat,start,,,193.7,155.2,67.5,bad,True,Heels lift,41.4,,,,
Squat,mid,,,153.5,126.5,118.6,bad,True,Knees over toes,50.3,,,,
Squat,mid,,,157.5,53.8,112.9,bad,True,Knees over toes,60.2,,,,
Squat,end,,,209.8,206.5,,bad,True,Knees over toes,51.5,,,,
Squat,mid,,,87.1,57.5,57.5,bad,True,Knees over toes,54.2,,,,
Squat,end,,,164.4,176.0,,bad,True,Heels lift,54.8,,,,
Squat,end,,,190.7,189.8,,bad,True,Back rounding,50.1,,,,
Squat,end,,,166.7,175.4,,bad,True,Back rounding,45.2,,,,
Squat,start,,,196.5,186.5,61.4,bad,True,Back rounding,54.1,,,,
Squat,end,,,166.5,208.0,,bad,True,Back rounding,69.9,,,,
Squat,end,,,161.5,173.6,,bad,True,Heels lift,49.4,,,,
Squat,mid,,,64.2,50.7,102.1,bad,True,Knees over toes,41.1,,,,
Squat,start,,,154.0,151.5,106.6,bad,True,Knees over toes,62.9,,,,
Squat,end,,,201.5,158.0,,bad,True,Knees over toes,40.0,,,,
Squat,mid,,,137.9,63.8,121.7,bad,True,Back rounding,53.5,,,,
Squat,mid,,,149.4,69.1,123.8,bad,True,Heels lift,41.6,,,,
Squat,end,,,163.3,209.3,,bad,True,Knees over toes,46.6,,,,
Squat,end,,,155.5,199.5,,bad,True,Back rounding,47.0,,,,
Squat,start,,,153.4,163.4,119.3,bad,True,Heels lift,48.2,,,,
Squat,start,,,152.1,162.2,61.4,bad,True,Heels lift,61.0,,,,
Squat,end,,,175.0,201.4,,bad,True,Heels lift,43.7,,,,
Squat,start,,,186.1,207.4,83.6,bad,True,Back rounding,57.3,,,,
Squat,start,,,201.0,184.6,97.4,bad,True,Back rounding,41.5,,,,
Squat,end,,,179.0,183.4,,bad,True,Heels lift,53.4,,,,
Squat,end,,,175.8,198.4,,bad,True,Heels lift,42.7,,,,
Squat,mid,,,146.3,147.6,112.1,bad,True,Heels lift,60.1,,,,
Squat,mid,,,142.3,141.4,66.0,bad,True,Heels lift,61.4,,,,
Squat,end,,,199.0,159.9,,bad,True,Knees over toes,56.6,,,,
Squat,start,,,178.6,154.8,87.5,bad,True,Heels lift,41.4,,,,
Squat,start,,,188.0,169.5,98.6,bad,True,Heels lift,67.2,,,,
Squat,mid,,,64.0,136.6,41.8,bad,True,Knees over toes,67.4,,,,
Squat,end,,,173.9,151.4,,bad,True,Back rounding,45.9,,,,
Squat,mid,,,80.0,56.5,112.5,bad,True,Knees over toes,50.1,,,,
Squat,mid,,,71.9,131.4,65.2,bad,True,Knees over toes,59.3,,,,
Squat,start,,,190.7,197.0,84.5,bad,True,Heels lift,46.7,,,,
Squat,mid,,,69.9,67.5,46.2,bad,True,Heels lift,48.6,,,,
Squat,mid,,,87.4,51.1,46.9,bad,True,Heels lift,58.5,,,,
Squat,mid,,,76.7,50.6,62.7,bad,True,Knees over toes,66.5,,,,
Squat,mid,,,157.0,140.6,64.5,bad,True,Knees over toes,56.8,,,,
Squat,end,,,182.4,155.7,,bad,True,Heels lift,66.7,,,,
Squat,mid,,,73.8,142.9,110.0,bad,True,Knees over toes,69.5,,,,
Squat,mid,,,145.6,122.6,54.8,bad,True,Knees over toes,65.0,,,,
Squat,start,,,193.4,177.7,84.3,bad,True,Back rounding,54.7,,,,
Squat,mid,,,137.2,60.8,105.2,bad,True,Heels lift,67.7,,,,
Squat,start,,,157.5,158.2,79.0,bad,True,Back rounding,67.3,,,,
Squat,start,,,188.8,200.5,63.4,bad,True,Back rounding,68.0,,,,
Squat,start,,,209.5,183.9,66.4,bad,True,Back rounding,43.7,,,,
Squat,mid,,,134.8,121.5,48.0,bad,True,Back rounding,53.5,,,,
Squat,start,,,206.6,203.6,99.9,bad,True,Back rounding,63.1,,,,
Squat,start,,,208.6,206.9,111.3,bad,True,Back rounding,49.9,,,,
Squat,start,,,186.3,207.9,91.7,bad,True,Knees over toes,45.4,,,,
Squat,mid,,,134.3,58.2,122.0,bad,True,Back rounding,49.0,,,,
Squat,end,,,170.0,152.9,,bad,True,Back rounding,48.7,,,,
Squat,mid,,,85.9,72.5,125.6,bad,True,Heels lift,69.4,,,,
Squat,start,,,168.2,200.3,71.0,bad,True,Knees over toes,63.6,,,,
Squat,mid,,,87.8,130.7,56.5,bad,True,Knees over toes,42.3,,,,
Squat,mid,,,65.7,140.4,41.8,bad,True,Knees over toes,68.1,,,,
Squat,mid,,,151.8,137.8,67.9,bad,True,Back rounding,64.2,,,,
Squat,end,,,207.1,150.5,,bad,True,Knees over toes,66.1,,,,
Squat,end,,,176.8,172.4,,bad,True,Heels lift,52.8,,,,
Squat,end,,,151.1,159.2,,bad,True,Knees over toes,59.2,,,,
Squat,start,,,157.7,195.7,116.8,bad,True,Back rounding,41.3,,,,
Squat,mid,,,142.2,143.8,130.0,bad,True,Heels lift,63.0,,,,
Squat,start,,,163.1,156.3,109.0,bad,True,Back rounding,58.3,,,,
Squat,mid,,,158.5,121.3,129.0,bad,True,Back rounding,58.8,,,,
Squat,start,,,161.1,182.7,77.8,bad,True,Knees over toes,59.6,,,,
Squat,mid,,,70.9,131.7,111.0,bad,True,Back rounding,50.9,,,,
Squat,start,,,193.6,150.2,68.6,bad,True,Knees over toes,49.6,,,,
Squat,start,,,155.4,209.8,64.2,bad,True,Heels lift,41.3,,,,
Squat,mid,,,64.7,71.0,58.1,bad,True,Heels lift,51.0,,,,
Squat,end,,,168.0,172.8,,bad,True,Heels lift,52.7,,,,
Squat,start,,,195.9,196.7,81.9,bad,True,Heels lift,52.9,,,,
Squat,end,,,186.1,207.3,,bad,True,Heels lift,59.4,,,,
Squat,end,,,174.8,197.8,,bad,True,Back rounding,41.5,,,,
Squat,mid,,,136.0,125.8,113.4,bad,True,Heels lift,68.5,,,,
Squat,end,,,171.4,181.2,,bad,True,Back rounding,48.3,,,,
Squat,start,,,207.9,152.4,88.9,bad,True,Back rounding,42.8,,,,
Squat,end,,,152.6,173.5,,bad,True,Heels lift,58.0,,,,
Squat,mid,,,61.4,63.2,125.2,bad,True,Knees over toes,51.8,,,,
Squat,end,,,187.6,154.6,,bad,True,Back rounding,64.9,,,,
Squat,start,,,204.1,153.3,64.2,bad,True,Heels lift,63.6,,,,
Squat,end,,,204.4,199.2,,bad,True,Back rounding,61.4,,,,
Squat,end,,,163.9,181.3,,bad,True,Back rounding,47.3,,,,
Squat,end,,,195.1,200.2,,bad,True,Heels lift,48.6,,,,
Squat,start,,,167.4,165.7,87.0,bad,True,Back rounding,65.9,,,,
Squat,start,,,166.3,164.3,108.2,bad,True,Knees over toes,62.8,,,,
Squat,mid,,,78.8,61.5,120.9,bad,True,Heels lift,60.7,,,,
Squat,start,,,154.2,160.6,93.8,bad,True,Knees over toes,50.0,,,,
Squat,end,,,185.8,174.9,,bad,True,Back rounding,63.8,,,,
Squat,mid,,,81.0,66.7,106.4,bad,True,Heels lift,55.7,,,,
Squat,end,,,197.6,175.1,,bad,True,Knees over toes,55.4,,,,
Squat,mid,,,67.0,65.0,121.6,bad,True,Back rounding,42.9,,,,
Squat,mid,,,154.2,125.4,127.8,bad,True,Heels lift,45.5,,,,
Squat,mid,,,86.4,58.2,63.6,bad,True,Heels lift,63.5,,,,
Squat,start,,,181.1,206.6,76.0,bad,True,Heels lift,41.9,,,,
Squat,mid,,,134.0,68.7,49.0,bad,True,Knees over toes,52.4,,,,
Squat,end,,,187.2,157.5,,bad,True,Knees over toes,48.4,,,,
Squat,mid,,,73.0,67.8,50.0,bad,True,Back rounding,40.4,,,,
Squat,mid,,,66.0,52.9,124.6,bad,True,Knees over toes,65.5,,,,
Squat,end,,,190.8,192.5,,bad,True,Heels lift,62.7,,,,
Squat,start,,,171.2,208.6,88.3,bad,True,Heels lift,52.1,,,,
Squat,end,,,168.7,155.9,,bad,True,Knees over toes,64.2,,,,
Squat,mid,,,86.0,51.3,52.9,bad,True,Heels lift,49.2,,,,
Squat,mid,,,144.4,131.5,67.5,bad,True,Back rounding,43.1,,,,
Squat,end,,,153.1,154.2,,bad,True,Back rounding,42.3,,,,
Squat,end,,,184.6,208.2,,bad,True,Heels lift,40.7,,,,
Squat,mid,,,156.4,69.6,101.9,bad,True,Heels lift,52.0,,,,
Squat,start,,,161.8,195.3,94.9,bad,True,Back rounding,43.7,,,,
Squat,start,,,205.1,162.3,109.5,bad,True,Knees over toes,61.5,,,,
Squat,mid,,,152.5,148.4,63.0,bad,True,Back rounding,62.5,,,,
Squat,end,,,156.8,174.4,,bad,True,Knees over toes,50.9,,,,
Squat,start,,,153.2,192.6,61.0,bad,True,Heels lift,69.2,,,,
Squat,end,,,197.9,193.6,,bad,True,Back rounding,54.0,,,,
Squat,mid,,,135.7,144.4,48.3,bad,True,Knees over toes,49.9,,,,
Squat,mid,,,143.5,61.3,67.4,bad,True,Heels lift,69.9,,,,
Squat,mid,,,71.7,53.1,52.9,bad,True,Back rounding,45.3,,,,
Squat,start,,,201.3,191.8,94.6,bad,True,Back rounding,60.5,,,,
Squat,mid,,,136.6,62.4,117.0,bad,True,Knees over toes,43.6,,,,
Squat,mid,,,67.1,125.7,101.4,bad,True,Back rounding,54.9,,,,
Squat,end,,,192.6,167.5,,bad,True,Knees over toes,51.4,,,,
Squat,mid,,,81.1,60.6,108.1,bad,True,Knees over toes,64.3,,,,
Squat,mid,,,61.3,147.4,46.8,bad,True,Back rounding,52.7,,,,
Squat,mid,,,68.3,66.0,113.5,bad,True,Knees over toes,50.7,,,,
Squat,mid,,,69.1,138.2,64.6,bad,True,Back rounding,50.8,,,,
Squat,end,,,182.7,167.0,,bad,True,Knees over toes,58.7,,,,
Squat,start,,,197.4,172.7,104.8,bad,True,Back rounding,49.7,,,,
Squat,start,,,181.7,205.7,99.7,bad,True,Knees over toes,46.7,,,,
Squat,end,,,165.9,170.9,,bad,True,Back rounding,45.4,,,,
Squat,mid,,,143.5,122.8,68.9,bad,True,Knees over toes,64.3,,,,
Squat,start,,,187.4,174.6,112.8,bad,True,Back rounding,45.5,,,,
Squat,mid,,,86.6,130.4,111.6,bad,True,Knees over toes,55.2,,,,
Squat,start,,,157.0,183.4,97.5,bad,True,Knees over toes,57.9,,,,
Squat,start,,,155.6,153.2,84.0,bad,True,Knees over toes,62.4,,,,
Squat,start,,,196.7,162.4,83.3,bad,True,Knees over toes,59.9,,,,
Squat,start,,,207.8,186.4,87.4,bad,True,Back rounding,53.8,,,,
Squat,mid,,,78.3,56.0,54.7,bad,True,Heels lift,64.1,,,,
Squat,end,,,176.7,162.9,,bad,True,Back rounding,59.3,,,,
Squat,end,,,160.4,154.7,,bad,True,Knees over toes,43.3,,,,
Squat,end,,,174.4,206.4,,bad,True,Knees over toes,58.2,,,,
Squat,start,,,204.8,202.2,103.7,bad,True,Knees over toes,53.9,,,,
Squat,end,,,186.7,172.1,,bad,True,Heels lift,43.1,,,,
Squat,start,,,168.6,207.9,103.4,bad,True,Back rounding,63.9,,,,
Squat,end,,,187.7,196.6,,bad,True,Back rounding,53.9,,,,
Squat,end,,,194.9,155.3,,bad,True,Back rounding,55.8,,,,
Squat,start,,,196.1,204.1,83.4,bad,True,Heels lift,55.8,,,,
Squat,start,,,186.6,205.4,115.8,bad,True,Heels lift,65.8,,,,
Squat,mid,,,151.2,141.1,113.1,bad,True,Back rounding,67.2,,,,
Squat,end,,,153.5,168.9,,bad,True,Knees over toes,69.6,,,,
Squat,mid,,,145.2,147.3,125.2,bad,True,Back rounding,58.2,,,,
Squat,start,,,198.3,194.5,74.4,bad,True,Back rounding,57.6,,,,
Squat,end,,,166.4,165.3,,bad,True,Back rounding,64.1,,,,
Squat,mid,,,68.4,50.7,128.8,bad,True,Knees over toes,60.7,,,,
Squat,mid,,,68.1,76.4,104.6,bad,True,Back rounding,40.9,,,,
Squat,start,,,163.5,183.9,60.8,bad,True,Knees over toes,41.4,,,,
Squat,end,,,205.1,160.9,,bad,True,Knees over toes,51.5,,,,
Squat,mid,,,151.9,68.8,113.7,bad,True,Back rounding,67.3,,,,
Squat,end,,,166.0,173.1,,bad,True,Back rounding,48.3,,,,
Squat,end,,,176.4,186.2,,bad,True,Knees over toes,48.6,,,,
Squat,end,,,189.1,195.3,,bad,True,Knees over toes,64.1,,,,
Squat,start,,,159.2,202.4,102.5,bad,True,Knees over toes,54.2,,,,
Squat,mid,,,148.6,53.4,112.9,bad,True,Heels lift,64.9,,,,
Squat,end,,,205.0,209.7,,bad,True,Back rounding,69.7,,,,
Squat,mid,,,87.6,68.7,54.0,bad,True,Knees over toes,60.0,,,,
Squat,start,,,202.0,153.9,113.9,bad,True,Knees over toes,67.8,,,,
Squat,end,,,182.7,191.9,,bad,True,Back rounding,40.5,,,,
Squat,start,,,160.6,171.4,72.8,bad,True,Heels lift,66.7,,,,
Squat,start,,,197.8,170.1,76.1,bad,True,Heels lift,50.0,,,,
Squat,end,,,181.5,191.2,,bad,True,Knees over toes,42.7,,,,
Squat,end,,,200.3,204.7,,bad,True,Heels lift,66.3,,,,
Squat,end,,,197.8,191.1,,bad,True,Heels lift,59.7,,,,
Squat,mid,,,88.1,62.4,109.0,bad,True,Knees over toes,47.1,,,,
Squat,end,,,203.2,203.5,,bad,True,Knees over toes,43.9,,,,
Squat,end,,,151.5,154.5,,bad,True,Back rounding,58.6,,,,
Squat,start,,,169.6,174.3,71.4,bad,True,Heels lift,58.0,,,,
Squat,start,,,198.4,152.4,61.1,bad,True,Knees over toes,60.1,,,,
Squat,end,,,185.0,192.9,,bad,True,Knees over toes,60.2,,,,
Squat,end,,,186.2,206.7,,bad,True,Knees over toes,67.5,,,,
Squat,start,,,181.0,159.7,75.7,bad,True,Back rounding,55.6,,,,
Squat,mid,,,79.8,126.2,122.8,bad,True,Back rounding,59.6,,,,
Squat,end,,,187.0,199.8,,bad,True,Heels lift,44.9,,,,
Squat,mid,,,137.4,65.6,127.7,bad,True,Knees over toes,60.5,,,,
Squat,start,,,155.9,169.1,103.9,bad,True,Back rounding,60.9,,,,
Squat,start,,,209.5,183.1,62.0,bad,True,Back rounding,53.3,,,,
Squat,start,,,191.6,197.3,72.9,bad,True,Heels lift,51.9,,,,
Squat,end,,,181.2,168.1,,bad,True,Knees over toes,44.7,,,,
Squat,mid,,,135.2,57.5,43.6,bad,True,Back rounding,46.5,,,,
Squat,mid,,,157.4,132.6,42.1,bad,True,Heels lift,42.3,,,,
Squat,mid,,,139.6,143.2,47.3,bad,True,Back rounding,69.7,,,,
Squat,mid,,,140.2,141.0,40.4,bad,True,Knees over toes,57.9,,,,
Squat,mid,,,159.1,138.7,60.8,bad,True,Back rounding,55.7,,,,
Squat,end,,,199.9,162.2,,bad,True,Back rounding,54.2,,,,
Squat,start,,,150.5,153.2,84.1,bad,True,Heels lift,48.2,,,,
Squat,end,,,170.1,209.8,,bad,True,Back rounding,44.9,,,,
Squat,start,,,173.0,173.9,105.7,bad,True,Heels lift,41.4,,,,
Squat,mid,,,80.5,128.4,49.3,bad,True,Heels lift,64.6,,,,
Squat,end,,,206.6,203.7,,bad,True,Knees over toes,54.8,,,,
Squat,end,,,155.3,164.2,,bad,True,Back rounding,66.7,,,,
Squat,start,,,174.7,175.5,62.7,bad,True,Back rounding,65.8,,,,
Squat,start,,,160.8,150.2,76.8,bad,True,Knees over toes,52.8,,,,
Squat,start,,,151.0,157.5,64.2,bad,True,Back rounding,42.3,,,,
Squat,end,,,173.2,163.9,,bad,True,Back rounding,62.2,,,,
Squat,mid,,,71.5,64.8,111.8,bad,True,Back rounding,64.4,,,,
Deadlift,mid,,,179.2,131.4,,good,False,,85.0,,,,
Deadlift,end,,,180.0,180.0,,good,False,,86.5,,,,
Deadlift,end,,,180.0,180.0,,good,False,,81.6,,,,
Deadlift,mid,,,108.4,147.0,,good,False,,96.6,,,,
Deadlift,start,,,60.9,146.8,90.0,good,False,,99.3,,,,
Deadlift,start,,,89.2,125.2,90.0,good,False,,92.8,,,,
Deadlift,start,,,64.1,135.4,90.0,good,False,,91.0,,,,
Deadlift,end,,,180.0,180.0,,good,False,,96.3,,,,
Deadlift,mid,,,95.3,157.9,,good,False,,88.2,,,,
Deadlift,end,,,180.0,180.0,,good,False,,80.1,,,,
Deadlift,mid,,,133.8,152.8,,good,False,,82.9,,,,
Deadlift,end,,,180.0,180.0,,good,False,,85.9,,,,
Deadlift,mid,,,69.1,132.1,,good,False,,81.5,,,,
Deadlift,mid,,,171.8,162.5,,good,False,,89.3,,,,
Deadlift,end,,,180.0,180.0,,good,False,,80.3,,,,
Deadlift,end,,,180.0,180.0,,good,False,,88.4,,,,
Deadlift,mid,,,158.8,145.4,,good,False,,85.7,,,,
Deadlift,mid,,,166.5,131.7,,good,False,,93.7,,,,
Deadlift,mid,,,172.2,173.8,,good,False,,90.7,,,,
Deadlift,mid,,,118.6,149.5,,good,False,,97.0,,,,
Deadlift,mid,,,85.9,146.1,,good,False,,84.6,,,,
Deadlift,end,,,180.0,180.0,,good,False,,90.0,,,,
Deadlift,start,,,81.6,155.0,90.0,good,False,,92.7,,,,
Deadlift,start,,,85.0,152.6,90.0,good,False,,97.9,,,,
Deadlift,start,,,61.8,150.4,90.0,good,False,,94.5,,,,
Deadlift,start,,,67.6,145.2,90.0,good,False,,96.1,,,,
Deadlift,start,,,68.7,128.9,90.0,good,False,,97.2,,,,
Deadlift,mid,,,132.8,159.6,,good,False,,85.6,,,,
Deadlift,start,,,70.0,136.5,90.0,good,False,,93.5,,,,
Deadlift,end,,,180.0,180.0,,good,False,,99.7,,,,
Deadlift,end,,,180.0,180.0,,good,False,,81.1,,,,
Deadlift,end,,,180.0,180.0,,good,False,,93.4,,,,
Deadlift,end,,,180.0,180.0,,good,False,,91.0,,,,
